"item_name","user_name","hours","user_id","item_id","rating"
"7 Days to Die",72523666,22,1522,1,0.645833333333333
"7 Days to Die",69856757,81,1434,1,0.895833333333332
"7 Days to Die",52731290,3.3,929,1,0.239583333333333
"7 Days to Die",76420334,0.9,1649,1,0.09375
"7 Days to Die",176539817,2.7,5186,1,0.21875
"7 Days to Die",71527252,43,1491,1,0.791666666666666
"7 Days to Die",212369949,70,6559,1,0.864583333333332
"7 Days to Die",61506388,2.4,1202,1,0.197916666666667
"7 Days to Die",298950,14.3,6,1,0.53125
"7 Days to Die",58618147,54,1106,1,0.822916666666666
"7 Days to Die",86338111,18.8,1954,1,0.625
"7 Days to Die",243664576,0.2,7377,1,0
"7 Days to Die",71335402,8.2,1484,1,0.447916666666667
"7 Days to Die",174287424,175,5103,1,0.958333333333332
"7 Days to Die",17497581,28,223,1,0.697916666666666
"7 Days to Die",155673786,18.5,4371,1,0.614583333333333
"7 Days to Die",75463760,6.9,1619,1,0.395833333333333
"7 Days to Die",98818460,50,2400,1,0.802083333333332
"7 Days to Die",62878249,24,1238,1,0.666666666666666
"7 Days to Die",30239820,6.4,419,1,0.34375
"7 Days to Die",43684632,4.4,697,1,0.260416666666667
"Ace of Spades",36546868,0.2,551,2,0.0142857142857143
"Ace of Spades",166863117,22,4820,2,0.942857142857142
"Ace of Spades",116564064,10.9,3021,2,0.814285714285714
"Ace of Spades",22301321,1.5,281,2,0.328571428571429
"Ace of Spades",116494569,10.1,3019,2,0.771428571428571
"Ace of Spades",116756674,9.5,3025,2,0.742857142857142
"Ace of Spades",82203951,0.3,1807,2,0.0571428571428571
"Ace of Spades",247912887,3.6,7485,2,0.514285714285714
"Ace of Spades",118852041,3.3,3088,2,0.5
"Ace of Spades",80630217,5.9,1764,2,0.628571428571428
"Ace of Spades",113752996,1.9,2925,2,0.342857142857143
"Ace of Spades",103638409,2.6,2562,2,0.428571428571429
"Ace of Spades",72989129,0.5,1537,2,0.171428571428571
"Ace of Spades",38049880,10.5,584,2,0.799999999999999
"Ace of Spades",86055705,10.3,1940,2,0.785714285714285
"Ace of Spades",188681523,7.1,5663,2,0.642857142857142
"Ace of Spades",149920224,7.7,4177,2,0.657142857142857
"Ace of Spades",181453879,5.3,5355,2,0.614285714285714
"Ace of Spades",36404933,2.3,547,2,0.385714285714286
"Ace of Spades",65398650,2.9,1318,2,0.457142857142857
"Ace of Spades",95699780,0.3,2295,2,0.0571428571428571
"Ace of Spades",137610845,3.2,3729,2,0.485714285714286
"Ace of Spades",122679931,11.1,3226,2,0.828571428571428
"Ace of Spades",130460859,0.7,3507,2,0.214285714285714
"Ace of Spades",110546832,4.7,2815,2,0.571428571428571
"Ace of Spades",59536273,7.9,1141,2,0.671428571428571
"Ace of Spades",127072755,0.2,3373,2,0.0142857142857143
"Ace of Spades",156071982,4.9,4388,2,0.6
"Ace of Spades",137508279,0.1,3726,2,0
"Ace of Spades",87832209,27,2007,2,0.957142857142856
"Ace of Spades",150751526,7.9,4207,2,0.671428571428571
"Ace of Spades",160883669,17.1,4580,2,0.885714285714285
"Ace of Spades",149438233,2.7,4158,2,0.442857142857143
"Ace of Spades",119310413,0.3,3104,2,0.0571428571428571
"Ace of Spades",35009482,29,520,2,0.97142857142857
"Ace of Spades",91859894,4.3,2138,2,0.557142857142857
"Ace of Spades",211544205,9.8,6535,2,0.757142857142857
"Ace of Spades",231029951,1.2,7010,2,0.3
"Ace of Spades",127272741,8.3,3380,2,0.7
"Ace of Spades",104870123,9.4,2610,2,0.728571428571428
"Ace of Spades",33622085,4.1,491,2,0.542857142857143
"Ace of Spades",50797633,17.2,889,2,0.899999999999999
"Ace of Spades",161991221,0.3,4638,2,0.0571428571428571
"Ace of Spades",118086742,0.4,3064,2,0.114285714285714
"Ace of Spades",19085114,0.2,241,2,0.0142857142857143
"Ace of Spades",92914917,1.2,2185,2,0.3
"Ace of Spades",91690667,3.9,2129,2,0.528571428571429
"Ace of Spades",107377573,0.6,2706,2,0.2
"Ace of Spades",103260848,2.4,2548,2,0.4
"Ace of Spades",46028967,0.4,756,2,0.114285714285714
"Ace of Spades",129364343,21,3461,2,0.928571428571427
"Ace of Spades",154730370,1.1,4341,2,0.257142857142857
"Ace of Spades",88883891,2.4,2047,2,0.4
"Ace of Spades",92593907,1.1,2171,2,0.257142857142857
"Ace of Spades",38465050,65,595,2,0.999999999999999
"Ace of Spades",45617627,0.8,746,2,0.228571428571429
"Ace of Spades",152861732,0.5,4272,2,0.171428571428571
"Ace of Spades",66596291,1.1,1357,2,0.257142857142857
"Ace of Spades",117488479,20,3046,2,0.914285714285713
"Ace of Spades",64023574,3,1272,2,0.471428571428572
"Ace of Spades",68809194,4.8,1411,2,0.585714285714286
"Ace of Spades",80494893,0.4,1758,2,0.114285714285714
"Ace of Spades",222050169,2,6839,2,0.357142857142857
"Ace of Spades",122824133,48,3230,2,0.985714285714284
"Ace of Spades",30440303,8.3,425,2,0.7
"Ace of Spades",213427457,12.4,6591,2,0.842857142857142
"Ace of Spades",150033540,13.3,4179,2,0.857142857142856
"Ace of Spades",108114779,13.6,2736,2,0.87142857142857
"Ace of Spades",43913966,0.8,701,2,0.228571428571429
"Ace of Spades",78309377,2,1694,2,0.357142857142857
"Ace of Spades",148264060,0.4,4116,2,0.114285714285714
"AdVenture Capitalist",174762197,255,5124,3,0.962686567164181
"AdVenture Capitalist",127272741,119,3380,3,0.902985074626867
"AdVenture Capitalist",80630217,23,1764,3,0.686567164179105
"AdVenture Capitalist",35009482,0.3,520,3,0.104477611940299
"AdVenture Capitalist",100769089,1.5,2463,3,0.276119402985075
"AdVenture Capitalist",151015947,1.1,4221,3,0.246268656716418
"AdVenture Capitalist",188949150,20,5670,3,0.671641791044777
"AdVenture Capitalist",298431593,0.4,8378,3,0.141791044776119
"AdVenture Capitalist",144071257,482,3974,3,0.992537313432837
"AdVenture Capitalist",210172601,3,6494,3,0.395522388059702
"AdVenture Capitalist",110824765,17,2822,3,0.656716417910449
"AdVenture Capitalist",144824885,0.1,4008,3,0
"AdVenture Capitalist",24469287,2.1,307,3,0.343283582089552
"AdVenture Capitalist",142799594,0.2,3931,3,0.0447761194029851
"AdVenture Capitalist",186903958,6.9,5589,3,0.529850746268657
"AdVenture Capitalist",175001491,256,5134,3,0.970149253731345
"AdVenture Capitalist",63276972,5.4,1248,3,0.470149253731344
"AdVenture Capitalist",193196975,29,5837,3,0.716417910447762
"AdVenture Capitalist",154230723,1.2,4321,3,0.261194029850746
"AdVenture Capitalist",245681889,0.2,7432,3,0.0447761194029851
"AdVenture Capitalist",215160630,53,6637,3,0.78358208955224
"AdVenture Capitalist",54826284,37,978,3,0.723880597014926
"AdVenture Capitalist",206982761,4.2,6382,3,0.440298507462687
"AdVenture Capitalist",213720494,99,6599,3,0.888059701492539
"AdVenture Capitalist",14962163,144,194,3,0.92537313432836
"AdVenture Capitalist",226212066,2.1,6915,3,0.343283582089552
"AdVenture Capitalist",170095814,85,4945,3,0.87313432835821
"AdVenture Capitalist",148246305,18,4115,3,0.664179104477613
"AdVenture Capitalist",113227222,0.9,2902,3,0.223880597014925
"AdVenture Capitalist",125141344,1.5,3306,3,0.276119402985075
"AdVenture Capitalist",181385269,4.5,5354,3,0.455223880597015
"AdVenture Capitalist",33651880,1095,492,3,1
"AdVenture Capitalist",215208719,114,6638,3,0.895522388059703
"AdVenture Capitalist",161384593,4,4611,3,0.425373134328358
"AdVenture Capitalist",182961604,10.8,5429,3,0.611940298507463
"AdVenture Capitalist",80164199,76,1745,3,0.843283582089553
"AdVenture Capitalist",259614031,37,7767,3,0.723880597014926
"AdVenture Capitalist",190191843,71,5725,3,0.828358208955225
"AdVenture Capitalist",105877396,80,2645,3,0.858208955223882
"AdVenture Capitalist",100311267,1.7,2447,3,0.298507462686567
"AdVenture Capitalist",159800136,0.9,4536,3,0.223880597014925
"AdVenture Capitalist",235758386,0.4,7126,3,0.141791044776119
"AdVenture Capitalist",158429732,8.3,4475,3,0.567164179104478
"AdVenture Capitalist",69856757,0.3,1434,3,0.104477611940299
"AdVenture Capitalist",114727578,6.2,2952,3,0.5
"AdVenture Capitalist",152959594,4,4280,3,0.425373134328358
"AdVenture Capitalist",118693973,6.6,3082,3,0.514925373134329
"AdVenture Capitalist",65935023,16.5,1335,3,0.649253731343284
"AdVenture Capitalist",123904490,1.5,3260,3,0.276119402985075
"AdVenture Capitalist",94269421,42,2242,3,0.761194029850747
"AdVenture Capitalist",154296520,81,4326,3,0.865671641791046
"AdVenture Capitalist",127220350,0.4,3378,3,0.141791044776119
"AdVenture Capitalist",243664576,0.2,7377,3,0.0447761194029851
"AdVenture Capitalist",172434236,0.3,5038,3,0.104477611940299
"AdVenture Capitalist",113752996,11.9,2925,3,0.634328358208956
"AdVenture Capitalist",115567288,278,2989,3,0.977611940298509
"AdVenture Capitalist",225392937,2.2,6897,3,0.358208955223881
"AdVenture Capitalist",158481258,52,4479,3,0.776119402985076
"AdVenture Capitalist",158159336,6.7,4464,3,0.522388059701493
"AdVenture Capitalist",99264709,5.5,2420,3,0.477611940298508
"AdVenture Capitalist",165101762,0.1,4756,3,0
"AdVenture Capitalist",293042025,8.9,8217,3,0.582089552238807
"AdVenture Capitalist",234024191,1.8,7081,3,0.305970149253731
"AdVenture Capitalist",274048748,77,7927,3,0.850746268656718
"AdVenture Capitalist",83671083,0.4,1858,3,0.141791044776119
"AdVenture Capitalist",238311629,0.2,7197,3,0.0447761194029851
"AdVenture Capitalist",159484357,11.1,4525,3,0.619402985074628
"AdVenture Capitalist",260265776,1.9,7787,3,0.335820895522388
"AdVenture Capitalist",245314153,5.7,7418,3,0.485074626865672
"AdVenture Capitalist",48525807,0.1,821,3,0
"AdVenture Capitalist",89286594,0.3,2061,3,0.104477611940299
"AdVenture Capitalist",49767455,24,860,3,0.69402985074627
"AdVenture Capitalist",155919035,48,4379,3,0.768656716417911
"AdVenture Capitalist",191244808,0.9,5759,3,0.223880597014925
"AdVenture Capitalist",122679931,10.3,3226,3,0.604477611940299
"AdVenture Capitalist",20464587,57,255,3,0.798507462686568
"AdVenture Capitalist",283872900,185,8081,3,0.947761194029852
"AdVenture Capitalist",168324795,6.9,4882,3,0.529850746268657
"AdVenture Capitalist",138941587,68,3787,3,0.813432835820897
"AdVenture Capitalist",101000574,87,2471,3,0.880597014925374
"AdVenture Capitalist",229556803,0.8,6983,3,0.208955223880597
"AdVenture Capitalist",194970068,0.1,5894,3,0
"AdVenture Capitalist",83135348,26,1837,3,0.701492537313434
"AdVenture Capitalist",167118460,122,4831,3,0.910447761194031
"AdVenture Capitalist",309404240,0.7,8650,3,0.186567164179104
"AdVenture Capitalist",182229935,65,5390,3,0.805970149253732
"AdVenture Capitalist",99374297,3.2,2422,3,0.41044776119403
"AdVenture Capitalist",61070572,4.3,1187,3,0.447761194029851
"AdVenture Capitalist",144347801,0.1,3983,3,0
"AdVenture Capitalist",104120883,39,2584,3,0.746268656716419
"AdVenture Capitalist",164511211,0.3,4725,3,0.104477611940299
"AdVenture Capitalist",49050405,0.1,833,3,0
"AdVenture Capitalist",92663477,2.4,2177,3,0.373134328358209
"AdVenture Capitalist",216785107,39,6701,3,0.746268656716419
"AdVenture Capitalist",238410719,1.8,7201,3,0.305970149253731
"AdVenture Capitalist",274785080,9,7935,3,0.589552238805971
"AdVenture Capitalist",198914333,6.4,6049,3,0.507462686567165
"AdVenture Capitalist",220680498,0.8,6801,3,0.208955223880597
"AdVenture Capitalist",131973876,179,3557,3,0.940298507462688
"AdVenture Capitalist",43908860,6,700,3,0.492537313432836
"AdVenture Capitalist",285972122,2.6,8122,3,0.380597014925373
"AdVenture Capitalist",298715051,0.2,8395,3,0.0447761194029851
"AdVenture Capitalist",45292137,2.8,736,3,0.388059701492537
"AdVenture Capitalist",293600797,1.4,8239,3,0.26865671641791
"AdVenture Capitalist",84455820,0.2,1888,3,0.0447761194029851
"AdVenture Capitalist",14544587,9,186,3,0.589552238805971
"AdVenture Capitalist",43684632,344,697,3,0.985074626865673
"AdVenture Capitalist",238808025,0.4,7213,3,0.141791044776119
"AdVenture Capitalist",77279068,247,1668,3,0.955223880597016
"AdVenture Capitalist",244335912,3,7393,3,0.395522388059702
"AdVenture Capitalist",137651115,8.1,3731,3,0.55223880597015
"AdVenture Capitalist",117949868,0.7,3061,3,0.186567164179104
"AdVenture Capitalist",160427210,75,4564,3,0.835820895522389
"AdVenture Capitalist",200673341,7.6,6123,3,0.544776119402986
"AdVenture Capitalist",175447188,133,5147,3,0.917910447761195
"AdVenture Capitalist",52435421,0.7,923,3,0.186567164179104
"AdVenture Capitalist",186483761,0.2,5574,3,0.0447761194029851
"AdVenture Capitalist",60217594,15.9,1161,3,0.64179104477612
"AdVenture Capitalist",118723066,27,3084,3,0.708955223880598
"AdVenture Capitalist",81170946,0.5,1779,3,0.17910447761194
"AdVenture Capitalist",88775181,8.1,2045,3,0.55223880597015
"AdVenture Capitalist",103731895,1.8,2569,3,0.305970149253731
"AdVenture Capitalist",232907046,3.6,7052,3,0.417910447761194
"AdVenture Capitalist",236596014,2.3,7155,3,0.365671641791045
"AdVenture Capitalist",108264287,8.7,2741,3,0.574626865671642
"AdVenture Capitalist",115487966,68,2987,3,0.813432835820897
"AdVenture Capitalist",95181268,0.2,2275,3,0.0447761194029851
"AdVenture Capitalist",79017735,55,1711,3,0.791044776119404
"AdVenture Capitalist",50769696,1.8,888,3,0.305970149253731
"AdVenture Capitalist",166604341,37,4808,3,0.723880597014926
"AdVenture Capitalist",176929122,171,5198,3,0.932835820895524
"AdVenture Capitalist",179347474,4.8,5279,3,0.462686567164179
"AdVenture Capitalist",304971849,11.1,8575,3,0.619402985074628
"AdVenture Capitalist",9563573,1.1,112,3,0.246268656716418
"AdVenture Capitalist",124641717,22,3285,3,0.679104477611941
"Aftermath",190060278,2,5721,4,0.615384615384615
"Aftermath",212426459,8.8,6560,4,0.865384615384616
"Aftermath",260118401,0.7,7782,4,0.288461538461538
"Aftermath",152956403,0.5,4279,4,0.192307692307692
"Aftermath",156879739,5.2,4426,4,0.826923076923077
"Aftermath",186642906,2.7,5579,4,0.673076923076923
"Aftermath",182771524,2.3,5419,4,0.653846153846154
"Aftermath",259477553,14.9,7761,4,0.923076923076924
"Aftermath",80511960,0.1,1760,4,0
"Aftermath",90272527,1,2090,4,0.365384615384615
"Aftermath",100311267,1.3,2447,4,0.442307692307692
"Aftermath",220434034,4.2,6794,4,0.769230769230769
"Aftermath",188509200,3.1,5653,4,0.711538461538462
"Aftermath",153017703,1.5,4281,4,0.480769230769231
"Aftermath",155673786,1.1,4371,4,0.384615384615385
"Aftermath",296656295,1.4,8321,4,0.461538461538462
"Aftermath",245863248,1.6,7438,4,0.5
"Aftermath",273082868,1.9,7917,4,0.557692307692308
"Aftermath",174226719,3.6,5100,4,0.75
"Aftermath",81746734,1.6,1793,4,0.5
"Aftermath",259708463,1.8,7770,4,0.538461538461538
"Aftermath",221694858,2.7,6823,4,0.673076923076923
"Aftermath",68540434,63,1402,4,1
"Aftermath",123904490,0.4,3260,4,0.153846153846154
"Aftermath",254935843,1.9,7663,4,0.557692307692308
"Aftermath",110658990,0.3,2817,4,0.0769230769230769
"Aftermath",116876958,15.1,3029,4,0.942307692307693
"Aftermath",131539267,28,3546,4,0.961538461538462
"Aftermath",64611580,0.3,1292,4,0.0769230769230769
"Aftermath",163281091,1.1,4686,4,0.384615384615385
"Aftermath",253813925,0.9,7641,4,0.346153846153846
"Aftermath",161384593,12.3,4611,4,0.903846153846154
"Aftermath",198573013,0.2,6035,4,0.0384615384615385
"Aftermath",281846414,12,8042,4,0.884615384615385
"Aftermath",276057148,0.6,7952,4,0.230769230769231
"Aftermath",159994178,6.1,4549,4,0.846153846153847
"Aftermath",106147454,1.9,2657,4,0.557692307692308
"Aftermath",254550709,3.4,7654,4,0.730769230769231
"Aftermath",276090576,2.2,7954,4,0.634615384615385
"Aftermath",28472068,0.2,381,4,0.0384615384615385
"Aftermath",274785080,0.4,7935,4,0.153846153846154
"Aftermath",292070264,46,8204,4,0.980769230769232
"Aftermath",231029951,0.1,7010,4,0
"Aftermath",118554131,0.6,3078,4,0.230769230769231
"Aftermath",201793161,0.3,6174,4,0.0769230769230769
"Aftermath",268110072,0.3,7868,4,0.0769230769230769
"Aftermath",245314153,0.5,7418,4,0.192307692307692
"Aftermath",77980915,1.1,1689,4,0.384615384615385
"Aftermath",103638409,0.8,2562,4,0.326923076923077
"Aftermath",211454678,0.7,6533,4,0.288461538461538
"Aftermath",225176638,0.6,6892,4,0.230769230769231
"Aftermath",264253640,4.9,7829,4,0.788461538461539
"Aftermath",165101762,5,4756,4,0.807692307692308
"Age of Chivalry",30042027,137,413,5,0.981132075471698
"Age of Chivalry",66596291,28,1357,5,0.924528301886792
"Age of Chivalry",21979395,0.3,275,5,0.0943396226415094
"Age of Chivalry",103260848,0.3,2548,5,0.0943396226415094
"Age of Chivalry",31187179,1.8,443,5,0.433962264150943
"Age of Chivalry",101369449,0.9,2481,5,0.283018867924528
"Age of Chivalry",71390526,5.3,1485,5,0.641509433962264
"Age of Chivalry",14906179,10,193,5,0.792452830188679
"Age of Chivalry",85959768,0.7,1936,5,0.226415094339623
"Age of Chivalry",19085114,7.4,241,5,0.69811320754717
"Age of Chivalry",91859894,9.7,2138,5,0.735849056603774
"Age of Chivalry",80821544,69,1769,5,0.962264150943396
"Age of Chivalry",33622085,461,491,5,1
"Age of Chivalry",5976642,0.2,71,5,0.0188679245283019
"Age of Chivalry",78332414,0.2,1695,5,0.0188679245283019
"Age of Chivalry",43684632,1.6,697,5,0.39622641509434
"Age of Chivalry",37723786,0.3,577,5,0.0943396226415094
"Age of Chivalry",25337857,0.3,319,5,0.0943396226415094
"Age of Chivalry",33659046,10.3,493,5,0.811320754716981
"Age of Chivalry",42928788,1,682,5,0.30188679245283
"Age of Chivalry",48525807,0.8,821,5,0.264150943396226
"Age of Chivalry",26729643,10.7,337,5,0.830188679245283
"Age of Chivalry",43913966,2,701,5,0.490566037735849
"Age of Chivalry",110304379,2.7,2806,5,0.528301886792453
"Age of Chivalry",66755246,9.7,1364,5,0.735849056603774
"Age of Chivalry",83671083,0.7,1858,5,0.226415094339623
"Age of Chivalry",36978196,1.8,562,5,0.433962264150943
"Age of Chivalry",71944738,4.4,1510,5,0.60377358490566
"Age of Chivalry",145512685,0.4,4030,5,0.169811320754717
"Age of Chivalry",42771635,22,680,5,0.886792452830189
"Age of Chivalry",33282871,1,481,5,0.30188679245283
"Age of Chivalry",94936385,1.3,2265,5,0.358490566037736
"Age of Chivalry",118852041,1,3088,5,0.30188679245283
"Age of Chivalry",48798067,23,828,5,0.90566037735849
"Age of Chivalry",186483761,18.8,5574,5,0.867924528301887
"Age of Chivalry",82418411,0.2,1815,5,0.0188679245283019
"Age of Chivalry",49893565,2.9,867,5,0.547169811320755
"Age of Chivalry",78969820,9.7,1710,5,0.735849056603774
"Age of Chivalry",31733654,1.5,450,5,0.377358490566038
"Age of Chivalry",975449,2,18,5,0.490566037735849
"Age of Chivalry",14465359,15.2,184,5,0.849056603773585
"Age of Chivalry",150751526,0.2,4207,5,0.0188679245283019
"Age of Chivalry",33580866,1.8,488,5,0.433962264150943
"Age of Chivalry",37490443,6.6,574,5,0.679245283018868
"Age of Chivalry",60611062,1.6,1172,5,0.39622641509434
"Age of Chivalry",54103616,0.6,962,5,0.188679245283019
"Age of Chivalry",25411448,0.6,320,5,0.188679245283019
"Age of Chivalry",108007732,3.6,2733,5,0.584905660377358
"Age of Chivalry",90541290,8.2,2096,5,0.716981132075472
"Age of Chivalry",119619506,6.1,3116,5,0.660377358490566
"Age of Chivalry",117552823,4.4,3049,5,0.60377358490566
"Age of Chivalry",32126281,0.1,459,5,0
"Age of Chivalry",122679931,3.5,3226,5,0.566037735849057
"Age of Chivalry",60557056,54,1169,5,0.943396226415094
"Age of Empires II HD Edition",18149166,2.7,234,6,0.222222222222222
"Age of Empires II HD Edition",159248043,0.1,4512,6,0
"Age of Empires II HD Edition",256980620,247,7708,6,0.974747474747475
"Age of Empires II HD Edition",73195149,10.3,1546,6,0.555555555555555
"Age of Empires II HD Edition",17017968,247,218,6,0.974747474747475
"Age of Empires II HD Edition",11794760,0.7,147,6,0.0808080808080808
"Age of Empires II HD Edition",73835640,10,1571,6,0.535353535353535
"Age of Empires II HD Edition",159211669,4.5,4511,6,0.323232323232323
"Age of Empires II HD Edition",128065805,364,3414,6,0.989898989898991
"Age of Empires II HD Edition",12610800,1.8,162,6,0.171717171717172
"Age of Empires II HD Edition",180753437,0.6,5325,6,0.0757575757575758
"Age of Empires II HD Edition",206014489,682,6339,6,1
"Age of Empires II HD Edition",242523654,0.7,7337,6,0.0808080808080808
"Age of Empires II HD Edition",97818502,12.1,2373,6,0.601010101010101
"Age of Empires II HD Edition",33651880,23,492,6,0.732323232323232
"Age of Empires II HD Edition",82263745,9,1810,6,0.48989898989899
"Age of Empires II HD Edition",127335438,15.5,3383,6,0.666666666666667
"Age of Empires II HD Edition",45094639,4,731,6,0.297979797979798
"Age of Empires II HD Edition",72996988,3.5,1538,6,0.262626262626263
"Age of Empires II HD Edition",231221037,190,7017,6,0.95959595959596
"Age of Empires II HD Edition",138941587,9.1,3787,6,0.505050505050505
"Age of Empires II HD Edition",48028873,21,806,6,0.712121212121212
"Age of Empires II HD Edition",67492611,29,1374,6,0.772727272727273
"Age of Empires II HD Edition",23608098,23,298,6,0.732323232323232
"Age of Empires II HD Edition",27279261,2.6,356,6,0.217171717171717
"Age of Empires II HD Edition",158891314,31,4495,6,0.787878787878788
"Age of Empires II HD Edition",89005236,146,2051,6,0.93939393939394
"Age of Empires II HD Edition",68719896,13.4,1410,6,0.651515151515151
"Age of Empires II HD Edition",67579257,40,1377,6,0.828282828282828
"Age of Empires II HD Edition",239076426,10.4,7223,6,0.56060606060606
"Age of Empires II HD Edition",61676491,0.2,1208,6,0.0202020202020202
"Age of Empires II HD Edition",62878249,5.8,1238,6,0.383838383838384
"Age of Empires II HD Edition",76420334,2.9,1649,6,0.227272727272727
"Age of Empires II HD Edition",46637811,60,771,6,0.878787878787879
"Age of Empires II HD Edition",309626088,6.7,8652,6,0.409090909090909
"Age of Empires II HD Edition",1950243,1.3,29,6,0.136363636363636
"Age of Empires II HD Edition",115192877,97,2977,6,0.914141414141414
"Age of Empires II HD Edition",24469287,1.6,307,6,0.156565656565657
"Age of Empires II HD Edition",216047302,82,6676,6,0.883838383838384
"Age of Empires II HD Edition",66464409,0.3,1350,6,0.0353535353535354
"Age of Empires II HD Edition",56219610,9,1028,6,0.48989898989899
"Age of Empires II HD Edition",53875128,9,954,6,0.48989898989899
"Age of Empires II HD Edition",211569574,139,6536,6,0.92929292929293
"Age of Empires II HD Edition",24632218,1.5,309,6,0.146464646464646
"Age of Empires II HD Edition",211191233,12.7,6523,6,0.631313131313131
"Age of Empires II HD Edition",39941720,2.2,621,6,0.181818181818182
"Age of Empires II HD Edition",127117386,31,3375,6,0.787878787878788
"Age of Empires II HD Edition",75463760,6.9,1619,6,0.424242424242424
"Age of Empires II HD Edition",195607832,3.6,5919,6,0.277777777777778
"Age of Empires II HD Edition",57770056,0.3,1070,6,0.0353535353535354
"Age of Empires II HD Edition",83497449,2.2,1850,6,0.181818181818182
"Age of Empires II HD Edition",200821590,1,6129,6,0.111111111111111
"Age of Empires II HD Edition",72207742,93,1516,6,0.898989898989899
